Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
ShamGut_01_quant	1.5.1	none	vb	[]	1	['IU']	1001	177.05706788809266	61.507927021170815	False	False	4096	mapping	False	137562	0	287106	False	['range_factorized', 'gzipped']	[481, 747, 1391, 2762, 107355]	f09013bb7c5750190e725b72df8a26d20e1325ee910c3ad584b701a1c6c71799	efdf1b5432a4e2e9ec33e7ef04e0201c8e05708e8b4d614f0e5039eb0c9efb6c	caddbab71bb00df8c78d9ff2328ea2f11d873ce838f2f146ef6bab5d29ebe94bb3be84ea5d3cb6abe02219e29b847429765c5f93350781b489392f5b56acebce	237208e4528f7c454dd12fb894983ff2875917c5bf738470eb08a709dbaea8046609cda26e995c5d7a3a52eb0c65397ba52b337b059338a6e59513ab77e9d7e1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	90598232	60075161	0	9128506	15867128	49429380	66.30941870918629	quant	Tue Jul 06 10:48:24 2021	Tue Jul 06 10:54:46 2021
ShamGut_02_quant	1.5.1	none	vb	[]	1	['IU']	1001	176.39262240134255	59.29286799680586	False	False	4096	mapping	False	137562	0	351039	False	['range_factorized', 'gzipped']	[481, 747, 1391, 2762, 107355]	f09013bb7c5750190e725b72df8a26d20e1325ee910c3ad584b701a1c6c71799	efdf1b5432a4e2e9ec33e7ef04e0201c8e05708e8b4d614f0e5039eb0c9efb6c	caddbab71bb00df8c78d9ff2328ea2f11d873ce838f2f146ef6bab5d29ebe94bb3be84ea5d3cb6abe02219e29b847429765c5f93350781b489392f5b56acebce	237208e4528f7c454dd12fb894983ff2875917c5bf738470eb08a709dbaea8046609cda26e995c5d7a3a52eb0c65397ba52b337b059338a6e59513ab77e9d7e1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	101198727	68843462	0	8027559	17158073	65188517	68.0279920912444	quant	Tue Jul 06 10:54:47 2021	Tue Jul 06 11:02:14 2021
ShamGut_03_quant	1.5.1	none	vb	[]	1	['IU']	1001	181.77970011199812	61.71532371292346	False	False	4096	mapping	False	137562	0	285162	False	['range_factorized', 'gzipped']	[481, 747, 1391, 2762, 107355]	f09013bb7c5750190e725b72df8a26d20e1325ee910c3ad584b701a1c6c71799	efdf1b5432a4e2e9ec33e7ef04e0201c8e05708e8b4d614f0e5039eb0c9efb6c	caddbab71bb00df8c78d9ff2328ea2f11d873ce838f2f146ef6bab5d29ebe94bb3be84ea5d3cb6abe02219e29b847429765c5f93350781b489392f5b56acebce	237208e4528f7c454dd12fb894983ff2875917c5bf738470eb08a709dbaea8046609cda26e995c5d7a3a52eb0c65397ba52b337b059338a6e59513ab77e9d7e1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	96000143	65243024	0	6222688	16792811	59256460	67.96138209919124	quant	Tue Jul 06 11:02:16 2021	Tue Jul 06 11:09:21 2021
ShamGut_04_quant	1.5.1	none	vb	[]	1	['IU']	1001	184.92526922614036	62.949391459334024	False	False	4096	mapping	False	137562	0	297570	False	['range_factorized', 'gzipped']	[481, 747, 1391, 2762, 107355]	f09013bb7c5750190e725b72df8a26d20e1325ee910c3ad584b701a1c6c71799	efdf1b5432a4e2e9ec33e7ef04e0201c8e05708e8b4d614f0e5039eb0c9efb6c	caddbab71bb00df8c78d9ff2328ea2f11d873ce838f2f146ef6bab5d29ebe94bb3be84ea5d3cb6abe02219e29b847429765c5f93350781b489392f5b56acebce	237208e4528f7c454dd12fb894983ff2875917c5bf738470eb08a709dbaea8046609cda26e995c5d7a3a52eb0c65397ba52b337b059338a6e59513ab77e9d7e1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	86372935	55766575	0	4656822	14381764	63611110	64.56487208637752	quant	Tue Jul 06 11:09:22 2021	Tue Jul 06 11:16:12 2021
StrokeGut_01_quant	1.5.1	none	vb	[]	1	['IU']	1001	182.44825902612638	62.57307740353092	False	False	4096	mapping	False	137562	0	350030	False	['range_factorized', 'gzipped']	[481, 747, 1391, 2762, 107355]	f09013bb7c5750190e725b72df8a26d20e1325ee910c3ad584b701a1c6c71799	efdf1b5432a4e2e9ec33e7ef04e0201c8e05708e8b4d614f0e5039eb0c9efb6c	caddbab71bb00df8c78d9ff2328ea2f11d873ce838f2f146ef6bab5d29ebe94bb3be84ea5d3cb6abe02219e29b847429765c5f93350781b489392f5b56acebce	237208e4528f7c454dd12fb894983ff2875917c5bf738470eb08a709dbaea8046609cda26e995c5d7a3a52eb0c65397ba52b337b059338a6e59513ab77e9d7e1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	86725188	61104632	0	6181077	13563466	54790199	70.45776827834608	quant	Tue Jul 06 11:16:13 2021	Tue Jul 06 11:22:38 2021
StrokeGut_02_quant	1.5.1	none	vb	[]	1	['IU']	1001	173.15768101172267	57.172719319509696	False	False	4096	mapping	False	137562	0	272678	False	['range_factorized', 'gzipped']	[481, 747, 1391, 2762, 107355]	f09013bb7c5750190e725b72df8a26d20e1325ee910c3ad584b701a1c6c71799	efdf1b5432a4e2e9ec33e7ef04e0201c8e05708e8b4d614f0e5039eb0c9efb6c	caddbab71bb00df8c78d9ff2328ea2f11d873ce838f2f146ef6bab5d29ebe94bb3be84ea5d3cb6abe02219e29b847429765c5f93350781b489392f5b56acebce	237208e4528f7c454dd12fb894983ff2875917c5bf738470eb08a709dbaea8046609cda26e995c5d7a3a52eb0c65397ba52b337b059338a6e59513ab77e9d7e1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	85969485	58134714	0	7948744	17008328	63140994	67.62249884363038	quant	Tue Jul 06 11:22:39 2021	Tue Jul 06 11:28:58 2021
StrokeGut_03_quant	1.5.1	none	vb	[]	1	['IU']	1001	189.22532161004392	65.08231385390023	False	False	4096	mapping	False	137562	0	302619	False	['range_factorized', 'gzipped']	[481, 747, 1391, 2762, 107355]	f09013bb7c5750190e725b72df8a26d20e1325ee910c3ad584b701a1c6c71799	efdf1b5432a4e2e9ec33e7ef04e0201c8e05708e8b4d614f0e5039eb0c9efb6c	caddbab71bb00df8c78d9ff2328ea2f11d873ce838f2f146ef6bab5d29ebe94bb3be84ea5d3cb6abe02219e29b847429765c5f93350781b489392f5b56acebce	237208e4528f7c454dd12fb894983ff2875917c5bf738470eb08a709dbaea8046609cda26e995c5d7a3a52eb0c65397ba52b337b059338a6e59513ab77e9d7e1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	94622745	63526635	0	4427178	15585611	63279383	67.136749203376	quant	Tue Jul 06 11:28:59 2021	Tue Jul 06 11:36:11 2021
StrokeGut_04_quant	1.5.1	none	vb	[]	1	['IU']	1001	191.1360113323808	65.15976122751461	False	False	4096	mapping	False	137562	0	193535	False	['range_factorized', 'gzipped']	[481, 747, 1391, 2762, 107355]	f09013bb7c5750190e725b72df8a26d20e1325ee910c3ad584b701a1c6c71799	efdf1b5432a4e2e9ec33e7ef04e0201c8e05708e8b4d614f0e5039eb0c9efb6c	caddbab71bb00df8c78d9ff2328ea2f11d873ce838f2f146ef6bab5d29ebe94bb3be84ea5d3cb6abe02219e29b847429765c5f93350781b489392f5b56acebce	237208e4528f7c454dd12fb894983ff2875917c5bf738470eb08a709dbaea8046609cda26e995c5d7a3a52eb0c65397ba52b337b059338a6e59513ab77e9d7e1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	78681665	48690004	0	3359125	13363403	58799417	61.882274606161424	quant	Tue Jul 06 11:36:12 2021	Tue Jul 06 11:42:02 2021
