UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	2
0	2
0	0
45	0
5	0
2	0
14	0
11	0
9	0
1	0
33	0
1	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
4	9
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	1
0	0
0	0
0	0
0	4
0	0
10	25
0	0
0	0
0	10
2	0
0	1
12	0
0	12
28	7
0	1
0	0
7	7
0	6
2	3
3	27
0	27
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	18
0	0
0	0
0	1
0	1
0	1
0	3
0	2
0	3
0	1
1	0
0	0
22	6
0	0
0	0
0	0
0	0
0	1
0	1
0	1
26	0
14	2
0	0
0	0
0	6
0	6
0	3
0	0
2	18
1	3
0	0
0	0
0	0
9	17
12	15
8	10
0	10
0	4
0	4
0	0
0	0
13	4
0	0
21	26
0	0
0	0
2	10
0	0
3	1
0	0
0	0
20	12
0	1
0	0
15	12
0	12
21	1
1	0
0	0
0	0
0	0
0	0
2	3
2	6
3	1
0	1
0	1
11	7
2	2
0	1
0	2
8	0
13	0
1	6
0	0
0	0
1	14
1	0
0	0
9	5
11	0
5	0
0	0
0	0
0	0
0	0
12	0
10	2
0	4
0	4
0	0
0	0
0	0
0	0
3	0
0	0
0	0
16	0
21	1
2	11
4	19
24	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	12
0	11
0	0
156	753
25	62
0	570
0	452
0	183
0	448
0	2
0	2
0	4
0	0
0	0
0	0
0	0
0	0
0	9
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
35	580
1	599
0	495
0	107
0	75
8	63
0	22
7	7
0	13
0	71
0	530
0	103
0	0
0	5
0	6
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
15	74
0	68
0	70
1039	190
20	85
0	28
0	0
0	62
0	777
87	777
1	775
0	173
0	171
0	0
0	0
0	0
0	0
0	76
14	21
4	5
0	77
68	1766
1	40
0	13
0	13
0	13
0	13
0	13
0	13
0	0
0	0
0	0
0	13
6	76
3	95
0	90
0	0
0	0
0	14
41	0
0	14
0	0
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	10
0	10
0	10
0	0
0	0
0	0
0	1
0	1
0	1
