UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
9	38
0	37
48	3
11	1
3	0
14	0
1	0
0	0
2	0
44	0
12	0
0	0
0	0
0	0
0	0
0	0
0	0
28	1
0	0
0	0
0	5
0	5
5	22
0	22
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	2
11	15
0	10
0	0
0	6
0	1
0	1
0	4
8	3
0	7
0	0
4	1
0	1
0	0
7	4
0	4
2	0
0	0
0	3
0	2
0	0
14	0
0	0
0	0
1	0
0	0
2	0
2	4
0	4
20	4
0	32
0	6
0	6
0	2
0	1
0	0
17	20
0	17
0	1
0	1
0	0
0	0
0	0
0	9
0	0
0	2
0	2
0	1
4	14
0	14
1	0
0	0
0	1
0	3
3	9
0	9
0	0
0	0
4	32
0	1
0	9
0	0
0	0
4	10
8	9
0	0
0	0
0	2
0	2
0	6
0	0
0	0
0	0
1	2
0	5
0	0
0	0
1	6
0	1
0	1
0	1
2	3
0	7
19	0
0	6
0	6
5	0
0	0
3	5
0	5
7	4
1	0
4	1
0	7
0	6
0	2
0	2
0	0
0	7
0	4
0	1
2	0
4	0
0	0
6	3
0	1
6	9
1	5
0	4
5	5
0	0
0	0
0	0
0	0
0	0
0	0
7	1
11	0
1	6
0	6
0	4
0	4
9	5
0	0
1	0
0	1
9	1
13	1
22	0
5	12
5	14
13	0
0	0
0	0
0	0
0	0
0	0
14	0
0	0
0	0
0	0
0	0
0	0
0	0
0	72
2	71
0	3
300	808
75	92
2	604
0	487
0	203
0	449
0	0
26	0
100	33
0	0
0	0
0	0
0	0
18	0
0	33
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
38	786
1	847
0	749
0	273
0	162
14	72
0	59
12	9
0	14
0	160
26	820
0	271
0	0
0	13
0	13
0	0
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	105
0	86
0	99
1678	316
60	96
0	26
0	0
0	12
0	1418
114	1421
0	1420
0	124
0	126
0	0
0	0
0	0
0	0
0	177
12	53
0	8
0	177
172	2075
5	69
0	5
0	5
0	5
0	5
0	5
0	5
0	2
0	2
0	2
0	3
3	117
0	151
0	143
0	0
0	0
0	45
116	0
0	45
0	1
0	45
0	0
0	1
0	1
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
